uid,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,volume,openInterest,impliedVolatility,optType,myDateTime,expiration,ticker,currentPriceDay,stockVolumeDay,timeUntilExpiration,pctPriceDiff
AAPL201218C00109000-12_17_20-18:00,AAPL201218C00109000,2020-12-17 16:02:04,109.0,20.0,19.35,19.5,5.45,3.0,111.0,0.8906261,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.1102404
AAPL201218C00110000-12_17_20-18:00,AAPL201218C00110000,2020-12-17 17:37:22,110.0,18.25,18.35,18.5,4.6499996,759.0,17847.0,0.8437516,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.1020774
AAPL201218C00111000-12_17_20-18:00,AAPL201218C00111000,2020-12-17 17:40:35,111.0,17.35,17.35,17.5,4.6000004,1.0,143.0,0.8046895,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0939145
AAPL201218C00112000-12_17_20-18:00,AAPL201218C00112000,2020-12-17 16:26:11,112.0,16.78,16.35,16.5,5.1000004,9.0,307.0,0.7656273,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0857516
AAPL201218C00112500-12_17_20-18:00,AAPL201218C00112500,2020-12-17 17:40:35,112.5,15.85,15.85,16.0,4.8500004,343.0,40240.0,0.7343777,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0816701
AAPL201218C00113000-12_17_20-18:00,AAPL201218C00113000,2020-12-17 17:23:44,113.0,15.47,15.35,15.5,5.0700006,5.0,694.0,0.7187528,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0775886
AAPL201218C00114000-12_17_20-18:00,AAPL201218C00114000,2020-12-17 16:52:26,114.0,14.25,14.35,14.5,4.83,6.0,3005.0,0.6718783,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0694257
AAPL201218C00115000-12_17_20-18:00,AAPL201218C00115000,2020-12-17 17:41:31,115.0,13.35,13.35,13.5,4.5700006,452.0,72196.0,0.6250038,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0612628
AAPL201218C00116000-12_17_20-18:00,AAPL201218C00116000,2020-12-17 16:47:14,116.0,12.62,12.35,12.5,4.72,91.0,3470.0,0.5859416,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0530999
AAPL201218C00117000-12_17_20-18:00,AAPL201218C00117000,2020-12-17 17:20:42,117.0,11.39,11.35,11.5,4.7900004,213.0,3139.0,0.5390671,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0449369
AAPL201218C00117500-12_17_20-18:00,AAPL201218C00117500,2020-12-17 17:34:44,117.5,10.77,10.85,11.0,4.3600006,212.0,37060.0,0.5234423,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0408555
AAPL201218C00118000-12_17_20-18:00,AAPL201218C00118000,2020-12-17 17:23:44,118.0,10.48,10.35,10.5,4.5199995,82.0,6734.0,0.500005,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.036774
AAPL201218C00119000-12_17_20-18:00,AAPL201218C00119000,2020-12-17 17:12:48,119.0,9.41,9.35,9.5,4.31,146.0,2168.0,0.4531305,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0286111
AAPL201218C00120000-12_17_20-18:00,AAPL201218C00120000,2020-12-17 17:43:18,120.0,8.41,8.4,8.5,4.06,3048.0,51775.0,0.4140684,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0204481
AAPL201218C00121000-12_17_20-18:00,AAPL201218C00121000,2020-12-17 17:32:29,121.0,7.35,7.4,7.5,3.8,542.0,7789.0,0.3671938,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0122852
AAPL201218C00122000-12_17_20-18:00,AAPL201218C00122000,2020-12-17 17:39:20,122.0,6.23,6.4,6.5,3.31,1583.0,11035.0,0.3242255,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-0.0041223
AAPL201218C00122500-12_17_20-18:00,AAPL201218C00122500,2020-12-17 17:41:30,122.5,5.85,5.9,6.0,3.1299999,961.0,45045.0,0.3007882,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,-4.08e-05
AAPL201218C00123000-12_17_20-18:00,AAPL201218C00123000,2020-12-17 17:40:05,123.0,5.32,5.4,5.5,2.91,2257.0,11624.0,0.2812572,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0040407
AAPL201218C00124000-12_17_20-18:00,AAPL201218C00124000,2020-12-17 17:42:19,124.0,4.45,4.45,4.55,2.56,2595.0,17200.0,0.3007882,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0122036
AAPL201218C00125000-12_17_20-18:00,AAPL201218C00125000,2020-12-17 17:43:08,125.0,3.6,3.5,3.6,2.12,13255.0,137966.0,0.2822337,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0203665
AAPL201218C00126000-12_17_20-18:00,AAPL201218C00126000,2020-12-17 17:43:28,126.0,2.65,2.61,2.65,1.4800001,9242.0,20350.0,0.2451247,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0285295
AAPL201218C00127000-12_17_20-18:00,AAPL201218C00127000,2020-12-17 17:43:01,127.0,1.79,1.8,1.84,0.8799999,13650.0,30570.0,0.2421951,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0366924
AAPL201218C00128000-12_17_20-18:00,AAPL201218C00128000,2020-12-17 17:43:28,128.0,1.13,1.12,1.14,0.41,48855.0,38441.0,0.231453,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0448553
AAPL201218C00129000-12_17_20-18:00,AAPL201218C00129000,2020-12-17 17:43:21,129.0,0.61,0.61,0.62,0.07,92562.0,27918.0,0.2246171,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0530183
AAPL201218C00130000-12_17_20-18:00,AAPL201218C00130000,2020-12-17 17:43:28,130.0,0.3,0.3,0.31,-0.13,131245.0,187220.0,0.2265702,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0611812
AAPL201218C00131000-12_17_20-18:00,AAPL201218C00131000,2020-12-17 17:43:03,131.0,0.15,0.14,0.15,-0.19,20437.0,34753.0,0.2343827,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0693441
AAPL201218C00132000-12_17_20-18:00,AAPL201218C00132000,2020-12-17 17:43:00,132.0,0.07,0.07,0.08,-0.2,22165.0,44277.0,0.2519606,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0775071
AAPL201218C00133000-12_17_20-18:00,AAPL201218C00133000,2020-12-17 17:43:23,133.0,0.05,0.04,0.05,-0.17,6173.0,23941.0,0.2753979,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.08567
AAPL201218C00134000-12_17_20-18:00,AAPL201218C00134000,2020-12-17 17:40:13,134.0,0.02,0.02,0.03,0.02,2544.0,6165.0,0.296882,c,12_17_20-18:00,2020-12-18,AAPL,122.5049973,154456.0,0.001826,0.0938329
