Datetime,"('Adj Close', 'AAL')","('Adj Close', 'AAPL')","('Adj Close', 'AMD')","('Adj Close', 'AMZN')","('Adj Close', 'BA')","('Adj Close', 'BABA')","('Adj Close', 'BAC')","('Adj Close', 'BRK-B')","('Adj Close', 'DDOG')","('Adj Close', 'FB')","('Adj Close', 'GILD')","('Adj Close', 'HON')","('Adj Close', 'MRNA')","('Adj Close', 'MSFT')","('Adj Close', 'NIO')","('Adj Close', 'NKLA')","('Adj Close', 'PFE')","('Adj Close', 'TSLA')","('Adj Close', 'WFC')","('Adj Close', 'ZM')","('Close', 'AAL')","('Close', 'AAPL')","('Close', 'AMD')","('Close', 'AMZN')","('Close', 'BA')","('Close', 'BABA')","('Close', 'BAC')","('Close', 'BRK-B')","('Close', 'DDOG')","('Close', 'FB')","('Close', 'GILD')","('Close', 'HON')","('Close', 'MRNA')","('Close', 'MSFT')","('Close', 'NIO')","('Close', 'NKLA')","('Close', 'PFE')","('Close', 'TSLA')","('Close', 'WFC')","('Close', 'ZM')","('High', 'AAL')","('High', 'AAPL')","('High', 'AMD')","('High', 'AMZN')","('High', 'BA')","('High', 'BABA')","('High', 'BAC')","('High', 'BRK-B')","('High', 'DDOG')","('High', 'FB')","('High', 'GILD')","('High', 'HON')","('High', 'MRNA')","('High', 'MSFT')","('High', 'NIO')","('High', 'NKLA')","('High', 'PFE')","('High', 'TSLA')","('High', 'WFC')","('High', 'ZM')","('Low', 'AAL')","('Low', 'AAPL')","('Low', 'AMD')","('Low', 'AMZN')","('Low', 'BA')","('Low', 'BABA')","('Low', 'BAC')","('Low', 'BRK-B')","('Low', 'DDOG')","('Low', 'FB')","('Low', 'GILD')","('Low', 'HON')","('Low', 'MRNA')","('Low', 'MSFT')","('Low', 'NIO')","('Low', 'NKLA')","('Low', 'PFE')","('Low', 'TSLA')","('Low', 'WFC')","('Low', 'ZM')","('Open', 'AAL')","('Open', 'AAPL')","('Open', 'AMD')","('Open', 'AMZN')","('Open', 'BA')","('Open', 'BABA')","('Open', 'BAC')","('Open', 'BRK-B')","('Open', 'DDOG')","('Open', 'FB')","('Open', 'GILD')","('Open', 'HON')","('Open', 'MRNA')","('Open', 'MSFT')","('Open', 'NIO')","('Open', 'NKLA')","('Open', 'PFE')","('Open', 'TSLA')","('Open', 'WFC')","('Open', 'ZM')","('Volume', 'AAL')","('Volume', 'AAPL')","('Volume', 'AMD')","('Volume', 'AMZN')","('Volume', 'BA')","('Volume', 'BABA')","('Volume', 'BAC')","('Volume', 'BRK-B')","('Volume', 'DDOG')","('Volume', 'FB')","('Volume', 'GILD')","('Volume', 'HON')","('Volume', 'MRNA')","('Volume', 'MSFT')","('Volume', 'NIO')","('Volume', 'NKLA')","('Volume', 'PFE')","('Volume', 'TSLA')","('Volume', 'WFC')","('Volume', 'ZM')"
2020-12-14 09:30:00-05:00,17.6912,122.7247,92.545,3141.3501,234.8,258.49,28.85,227.07,100.905,272.2945,60.1,216.01,162.4074,213.48,40.35,17.4642,41.3179,623.64,29.73,386.515,17.6912,122.7247,92.545,3141.3501,234.8,258.49,28.85,227.07,100.905,272.2945,60.1,216.01,162.4074,213.48,40.35,17.4642,41.3179,623.64,29.73,386.515,17.81,123.35,92.8773,3143.96,235.88,260.855,28.96,228.06,101.2,273.44,60.42,216.41,163.7611,214.0,40.7,17.83,41.58,628.78,29.775,390.8151,17.6,122.5,91.85,3126.0,233.5,257.24,28.78,227.05,99.62,271.56,60.0022,215.71,160.9,212.88,39.81,17.37,41.13,617.51,29.495,386.42,17.66,122.6,91.97,3143.0,235.0,260.32,28.92,227.68,100.0,273.3722,60.39,216.0,163.4,213.1,39.93,17.79,41.565,619.0,29.54,388.95,10699879,4442578,1900374,267186,852438,1892137,2008936,200385,306263,779916,519356,0,1954228,1237129,33872197,1253117,8441842,2828871,1355253,380902
2020-12-14 09:35:00-05:00,17.5,123.035,93.41,3159.6001,236.25,259.74,28.7747,226.86,101.71,274.09,60.07,216.44,161.86,214.02,40.466,17.4301,41.295,624.702,29.57,388.36,17.5,123.035,93.41,3159.6001,236.25,259.74,28.7747,226.86,101.71,274.09,60.07,216.44,161.86,214.02,40.466,17.4301,41.295,624.702,29.57,388.36,17.69,123.1882,93.58,3161.8999,236.25,259.88,28.86,227.17,102.2,274.18,60.12,216.6,163.26,214.2,40.87,17.54,41.41,625.35,29.73,390.47,17.31,122.698,92.52,3142.0,234.55,258.38,28.74,226.54,100.8611,272.39,59.96,215.695,160.6601,213.46,40.34,17.38,40.9781,618.3,29.49,385.8901,17.69,122.735,92.5362,3142.0,234.6843,258.49,28.845,227.095,100.905,272.39,60.12,216.1,162.3901,213.48,40.36,17.455,41.32,623.4541,29.72,386.5393,4246330,1729906,1430281,176706,540784,548458,740682,129020,197745,421067,252645,38410,866249,641534,7157068,648220,3063491,1366120,1104041,162478
2020-12-14 09:40:00-05:00,17.755,122.7853,92.8594,3168.9199,236.7231,258.71,28.77,226.8,101.44,275.52,60.0515,216.38,160.87,214.32,39.9,17.28,41.27,617.04,29.59,381.03,17.755,122.7853,92.8594,3168.9199,236.7231,258.71,28.77,226.8,101.44,275.52,60.0515,216.38,160.87,214.32,39.9,17.28,41.27,617.04,29.59,381.03,17.76,123.14,93.56,3176.7451,236.74,259.6977,28.78,226.93,101.86,275.65,60.13,216.7,162.2,214.35,40.525,17.44,41.31,624.85,29.6,388.39,17.46,122.68,92.8,3159.1101,235.3801,258.62,28.715,226.42,100.81,273.97,59.91,216.11,160.55,213.825,39.85,17.2,41.01,616.8801,29.55,380.77,17.495,123.0342,93.4244,3159.1699,236.25,259.68,28.78,226.83,101.71,274.02,60.07,216.53,161.8,214.01,40.47,17.4327,41.29,624.75,29.5759,388.36,4086599,1350913,822189,156766,586340,404193,584422,112294,123131,465772,213595,24200,530097,541178,6932915,612248,1895242,1017369,531778,366348
2020-12-14 09:45:00-05:00,17.615,123.014,92.48,3173.23,236.65,257.68,28.755,226.4711,101.07,276.15,60.0811,216.1,159.55,214.725,39.91,17.34,41.17,613.59,29.525,381.21,17.615,123.014,92.48,3173.23,236.65,257.68,28.755,226.4711,101.07,276.15,60.0811,216.1,159.55,214.725,39.91,17.34,41.17,613.59,29.525,381.21,17.77,123.15,92.87,3182.0,236.8775,258.87,28.81,226.78,101.6791,277.22,60.165,216.4,161.17,214.79,40.23,17.37,41.38,618.942,29.595,383.31,17.55,122.78,92.33,3168.5708,235.64,257.68,28.69,226.32,100.75,275.2564,59.97,216.0,159.09,214.29,39.85,17.2254,41.16,612.32,29.42,380.4,17.755,122.79,92.84,3169.5,236.725,258.63,28.78,226.78,101.44,275.51,60.055,216.4,160.9028,214.32,39.895,17.29,41.27,617.2105,29.595,381.12,2505495,1384530,947993,148168,515260,503972,734939,81215,147053,553186,172378,32104,585598,548369,5339372,333739,1703612,1212500,875828,164833
2020-12-14 09:50:00-05:00,17.4,122.89,92.82,3186.5801,235.885,258.33,28.69,226.2257,100.85,276.23,60.1975,216.23,159.66,214.63,39.74,17.11,40.99,614.907,29.41,378.89,17.4,122.89,92.82,3186.5801,235.885,258.33,28.69,226.2257,100.85,276.23,60.1975,216.23,159.66,214.63,39.74,17.11,40.99,614.907,29.41,378.89,17.62,123.0575,92.9,3186.97,237.63,258.3999,28.77,226.72,101.39,276.26,60.3,216.27,160.46,214.75,39.92,17.34,41.19,615.28,29.53,382.0,17.3918,122.85,92.3346,3169.6499,235.8,257.61,28.69,226.185,100.62,275.25,60.0409,216.06,159.3001,214.37,39.55,17.04,40.9712,610.2001,29.41,377.5,17.62,123.01,92.47,3172.22,236.6452,257.64,28.7526,226.48,100.8208,276.1751,60.09,216.085,159.6,214.7218,39.9016,17.34,41.175,613.3401,29.52,381.04,2000480,986486,786589,144519,746838,414326,375013,68251,104004,255353,120157,18872,467765,423014,5683397,521291,1433984,994954,433964,323332
2020-12-14 09:55:00-05:00,17.29,122.9407,93.29,3180.1599,234.7024,258.725,28.7,226.1,101.4,276.4338,60.0237,215.74,160.01,214.74,39.927,16.98,40.865,618.585,29.385,380.54,17.29,122.9407,93.29,3180.1599,234.7024,258.725,28.7,226.1,101.4,276.4338,60.0237,215.74,160.01,214.74,39.927,16.98,40.865,618.585,29.385,380.54,17.435,122.97,93.3,3188.8701,236.4,258.7581,28.7,226.23,101.49,276.9,60.22,216.185,160.7976,214.78,40.08,17.14,41.0,620.03,29.42,381.0,17.22,122.66,92.76,3175.4543,234.3937,257.8,28.63,225.92,100.75,276.05,60.01,215.68,159.5144,214.32,39.73,16.83,40.72,614.66,29.3,378.02,17.41,122.88,92.7817,3185.0,235.84,258.33,28.69,226.17,100.985,276.21,60.195,216.15,159.725,214.61,39.735,17.1,40.9801,614.81,29.415,378.9871,2930892,1092679,730725,117093,531539,272067,572062,78178,99287,230534,156222,25833,267003,385658,3765017,749556,1974198,949668,573920,212073
2020-12-14 10:00:00-05:00,17.0828,122.92,93.1659,3173.2849,233.54,258.0,28.7,226.15,100.42,275.12,60.27,216.035,160.255,214.98,39.85,16.97,40.87,619.9368,29.28,378.899,17.0828,122.92,93.1659,3173.2849,233.54,258.0,28.7,226.15,100.42,275.12,60.27,216.035,160.255,214.98,39.85,16.97,40.87,619.9368,29.28,378.899,17.34,123.02,93.45,3184.6399,235.2,258.8424,28.74,226.335,101.56,276.58,60.38,216.065,160.35,215.3,39.99,16.99,40.95,620.0,29.405,381.4366,17.08,122.8093,92.82,3168.45,233.0,257.89,28.675,225.97,99.69,275.02,59.96,215.73,159.08,214.725,39.51,16.78,40.745,616.25,29.28,376.68,17.285,122.95,93.3,3180.1599,234.7152,258.76,28.69,226.1,101.3001,276.46,60.025,215.87,160.11,214.73,39.91,16.9833,40.89,618.91,29.39,380.65,3285748,1113953,753900,82777,571633,234539,480284,77213,90047,216436,201621,19171,274164,607303,4087293,468305,1224515,686722,436891,199657
2020-12-14 10:05:00-05:00,17.2571,122.73,93.287,3172.28,234.44,257.83,28.72,225.9,100.57,274.7,60.11,216.23,159.8623,214.6499,40.165,16.9866,40.755,619.84,29.42,381.3477,17.2571,122.73,93.287,3172.28,234.44,257.83,28.72,225.9,100.57,274.7,60.11,216.23,159.8623,214.6499,40.165,16.9866,40.755,619.84,29.42,381.3477,17.27,122.96,93.5,3179.05,234.87,258.12,28.74,226.11,101.0,275.3799,60.265,216.26,161.1599,215.1,40.23,17.11,40.94,622.17,29.44,382.1993,17.07,122.66,93.1438,3169.47,233.24,257.7,28.68,225.87,100.16,274.5201,60.09,215.8,159.53,214.6321,39.84,16.9572,40.75,619.2685,29.27,378.8194,17.0821,122.92,93.17,3173.6799,233.5,257.92,28.69,226.11,100.24,275.15,60.265,216.035,160.12,214.98,39.85,16.97,40.88,619.84,29.28,378.8194,2093487,967158,607786,49875,485657,303508,323972,73796,59699,216213,121470,17605,502352,391490,3516905,427274,990657,732140,426911,142768
2020-12-14 10:10:00-05:00,17.19,123.0113,93.39,3171.3701,233.8056,257.89,28.6861,225.795,101.39,275.655,60.09,216.2963,160.08,215.0059,40.27,17.01,40.545,623.4131,29.34,384.3,17.19,123.0113,93.39,3171.3701,233.8056,257.89,28.6861,225.795,101.39,275.655,60.09,216.2963,160.08,215.0059,40.27,17.01,40.545,623.4131,29.34,384.3,17.2699,123.02,93.46,3174.22,234.5,258.135,28.75,225.98,101.5699,275.78,60.18,216.51,160.425,215.16,40.37,17.04,40.76,625.09,29.4499,384.35,17.13,122.64,93.0901,3165.9736,233.61,257.74,28.675,225.74,100.57,274.71,60.05,216.225,159.55,214.54,39.95,16.92,40.51,619.0211,29.33,381.4924,17.25,122.73,93.27,3171.0,234.24,257.84,28.725,225.92,100.57,274.72,60.12,216.225,159.9399,214.64,40.165,16.983,40.75,620.04,29.425,381.4924,1321660,976359,507144,62901,353184,224136,435815,51660,58384,211190,144638,25355,241294,359090,3296457,271890,1848498,828490,312712,119454
2020-12-14 10:15:00-05:00,17.265,122.94,93.17,3182.3101,234.23,257.8601,28.7321,226.275,101.195,274.82,60.0833,216.54,158.69,215.12,40.385,17.0984,40.44,621.9198,29.375,387.5302,17.265,122.94,93.17,3182.3101,234.23,257.8601,28.7321,226.275,101.195,274.82,60.0833,216.54,158.69,215.12,40.385,17.0984,40.44,621.9198,29.375,387.5302,17.32,123.03,93.45,3184.0,234.54,258.05,28.77,226.385,101.62,275.75,60.12,216.59,160.34,215.67,40.61,17.18,40.5499,624.75,29.42,387.57,17.16,122.86,93.12,3171.541,233.7006,257.59,28.681,225.8001,101.14,274.66,60.03,216.16,158.6,214.99,40.27,17.01,40.38,621.33,29.335,384.29,17.185,123.015,93.387,3171.541,233.8644,257.92,28.6849,225.8001,101.39,275.71,60.09,216.29,160.06,215.01,40.28,17.0148,40.54,623.3701,29.34,384.3,1432982,1056474,516712,69759,114827,217863,315752,66780,42744,165914,99240,21062,391204,495225,2947382,319857,2155692,600018,254966,208289
