uid,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,volume,openInterest,impliedVolatility,optType,myDateTime,expiration,ticker,currentPriceDay,stockVolumeDay,timeUntilExpiration,pctPriceDiff
AAPL201231C00114000-12_31_20-19:30,AAPL201231C00114000,2020-12-31 17:00:08,114.0,18.0,18.35,18.4,-2.0,14.0,710.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1664534
AAPL201231C00115000-12_31_20-19:30,AAPL201231C00115000,2020-12-31 19:03:25,115.0,17.1,17.3,17.4,-1.8500004,204.0,2318.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1591416
AAPL201231C00116000-12_31_20-19:30,AAPL201231C00116000,2020-12-31 18:45:17,116.0,16.5,16.25,16.4,-2.0200005,75.0,872.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1518298
AAPL201231C00117000-12_31_20-19:30,AAPL201231C00117000,2020-12-31 19:08:50,117.0,15.1,15.35,15.45,-1.9099998,36.0,990.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.144518
AAPL201231C00118000-12_31_20-19:30,AAPL201231C00118000,2020-12-31 18:27:27,118.0,14.45,14.35,14.45,-1.5,80.0,1642.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1372062
AAPL201231C00119000-12_31_20-19:30,AAPL201231C00119000,2020-12-31 19:09:12,119.0,13.23,13.35,13.5,-1.7200003,21.0,1672.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1298943
AAPL201231C00120000-12_31_20-19:30,AAPL201231C00120000,2020-12-31 18:59:39,120.0,12.15,12.35,12.45,-1.6500006,398.0,8290.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1225825
AAPL201231C00121000-12_31_20-19:30,AAPL201231C00121000,2020-12-31 19:13:05,121.0,11.47,11.3,11.4,-1.3199997,297.0,2436.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1152707
AAPL201231C00122000-12_31_20-19:30,AAPL201231C00122000,2020-12-31 19:09:27,122.0,10.3,10.3,10.4,-1.5,643.0,3499.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1079589
AAPL201231C00123000-12_31_20-19:30,AAPL201231C00123000,2020-12-31 18:13:49,123.0,9.37,9.35,9.45,-1.4300003,331.0,3935.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1006471
AAPL201231C00124000-12_31_20-19:30,AAPL201231C00124000,2020-12-31 19:06:40,124.0,8.15,8.25,8.4,-1.6500006,311.0,3033.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0933353
AAPL201231C00125000-12_31_20-19:30,AAPL201231C00125000,2020-12-31 19:12:04,125.0,7.4,7.3,7.4,-1.3899999,658.0,13714.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0860235
AAPL201231C00126000-12_31_20-19:30,AAPL201231C00126000,2020-12-31 19:09:58,126.0,6.35,6.3,6.5,-1.44,781.0,5375.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0787117
AAPL201231C00127000-12_31_20-19:30,AAPL201231C00127000,2020-12-31 19:11:37,127.0,5.37,5.3,5.4,-1.7800002,706.0,4459.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0713998
AAPL201231C00128000-12_31_20-19:30,AAPL201231C00128000,2020-12-31 19:14:02,128.0,4.35,4.3,4.45,-1.5300002,814.0,6680.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.064088
AAPL201231C00129000-12_31_20-19:30,AAPL201231C00129000,2020-12-31 19:14:11,129.0,3.35,3.3,3.45,-1.5,1312.0,6985.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0567762
AAPL201231C00130000-12_31_20-19:30,AAPL201231C00130000,2020-12-31 19:14:53,130.0,2.4,2.33,2.4,-1.4199998,19512.0,32877.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0494644
AAPL201231C00131000-12_31_20-19:30,AAPL201231C00131000,2020-12-31 19:12:39,131.0,1.48,1.45,1.51,-1.3799999,6038.0,18671.0,1e-05,c,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0421526
AAPL201231P00113000-12_31_20-19:30,AAPL201231P00113000,2020-12-31 17:07:20,113.0,0.01,0.0,0.01,0.0,22.0,6112.0,1.0937545,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1737652
AAPL201231P00114000-12_31_20-19:30,AAPL201231P00114000,2020-12-31 15:20:46,114.0,0.01,0.0,0.01,0.0,1.0,3067.0,1.0312548,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1664534
AAPL201231P00115000-12_31_20-19:30,AAPL201231P00115000,2020-12-31 16:36:41,115.0,0.01,0.0,0.01,0.0,5.0,5199.0,0.9687503,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1591416
AAPL201231P00116000-12_31_20-19:30,AAPL201231P00116000,2020-12-31 18:37:41,116.0,0.01,0.0,0.01,0.0,5.0,2361.0,0.9375006,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1518298
AAPL201231P00117000-12_31_20-19:30,AAPL201231P00117000,2020-12-31 19:00:10,117.0,0.01,0.01,0.01,0.0,14.0,2422.0,0.9375006,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.144518
AAPL201231P00118000-12_31_20-19:30,AAPL201231P00118000,2020-12-31 16:59:54,118.0,0.01,0.0,0.01,-0.01,19.0,3385.0,0.8125019,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1372062
AAPL201231P00119000-12_31_20-19:30,AAPL201231P00119000,2020-12-31 16:52:29,119.0,0.01,0.01,0.01,0.0,11.0,1995.0,0.8281267,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1298943
AAPL201231P00120000-12_31_20-19:30,AAPL201231P00120000,2020-12-31 19:00:10,120.0,0.01,0.0,0.01,-0.01,113.0,19492.0,0.7187528,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1225825
AAPL201231P00121000-12_31_20-19:30,AAPL201231P00121000,2020-12-31 19:08:34,121.0,0.01,0.0,0.01,0.0,61.0,4436.0,0.6562534,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1152707
AAPL201231P00122000-12_31_20-19:30,AAPL201231P00122000,2020-12-31 19:08:34,122.0,0.01,0.0,0.01,0.0,127.0,7411.0,0.6093789,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1079589
AAPL201231P00123000-12_31_20-19:30,AAPL201231P00123000,2020-12-31 18:57:06,123.0,0.01,0.0,0.01,-0.01,74.0,4210.0,0.5625044,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.1006471
AAPL201231P00124000-12_31_20-19:30,AAPL201231P00124000,2020-12-31 17:16:38,124.0,0.01,0.0,0.01,-0.02,142.0,4667.0,0.500005,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0933353
AAPL201231P00125000-12_31_20-19:30,AAPL201231P00125000,2020-12-31 18:13:25,125.0,0.01,0.0,0.01,-0.01,1280.0,8765.0,0.4843802,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0860235
AAPL201231P00126000-12_31_20-19:30,AAPL201231P00126000,2020-12-31 19:03:36,126.0,0.01,0.0,0.01,-0.02,873.0,6604.0,0.4296932,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0787117
AAPL201231P00127000-12_31_20-19:30,AAPL201231P00127000,2020-12-31 19:07:59,127.0,0.01,0.0,0.01,-0.02,1340.0,8395.0,0.3750062,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0713998
AAPL201231P00128000-12_31_20-19:30,AAPL201231P00128000,2020-12-31 19:12:37,128.0,0.01,0.01,0.02,-0.02,1453.0,7341.0,0.3476628,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.064088
AAPL201231P00129000-12_31_20-19:30,AAPL201231P00129000,2020-12-31 19:14:53,129.0,0.01,0.01,0.02,-0.04,3749.0,7768.0,0.2851634,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0567762
AAPL201231P00130000-12_31_20-19:30,AAPL201231P00130000,2020-12-31 19:14:07,130.0,0.03,0.02,0.03,-0.03,8314.0,18629.0,0.2363358,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0494644
AAPL201231P00131000-12_31_20-19:30,AAPL201231P00131000,2020-12-31 19:11:47,131.0,0.06,0.05,0.06,-0.05,13168.0,11357.0,0.1953205,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0421526
AAPL201231P00132000-12_31_20-19:30,AAPL201231P00132000,2020-12-31 19:14:35,132.0,0.23,0.23,0.24,-0.02,38204.0,14311.0,0.194344,p,12_31_20-19:30,2020-12-31,AAPL,136.7649994,257851.0,-0.001084,-0.0348408
AAPL210108C00113000-12_31_20-19:30,AAPL210108C00113000,2020-12-30 15:16:44,113.0,21.37,19.45,19.55,0.0,2.0,136.0,1e-05,c,12_31_20-19:30,2021-01-08,AAPL,136.7649994,257851.0,0.020833,-0.1737652
AAPL210108C00114000-12_31_20-19:30,AAPL210108C00114000,2020-12-31 14:33:11,114.0,20.6,18.45,18.65,0.9200001,2.0,142.0,1e-05,c,12_31_20-19:30,2021-01-08,AAPL,136.7649994,257851.0,0.020833,-0.1664534
AAPL210108C00115000-12_31_20-19:30,AAPL210108C00115000,2020-12-31 17:47:12,115.0,17.75,17.45,17.6,-1.5499992,10.0,798.0,1e-05,c,12_31_20-19:30,2021-01-08,AAPL,136.7649994,257851.0,0.020833,-0.1591416
AAPL210108C00116000-12_31_20-19:30,AAPL210108C00116000,2020-12-31 18:45:17,116.0,16.62,16.5,16.6,-2.0,7.0,356.0,1e-05,c,12_31_20-19:30,2021-01-08,AAPL,136.7649994,257851.0,0.020833,-0.1518298
